episode,reward,waiting,queue,arrived,epsilon,loss,phase_counts,phases_used,dominant_phase,dominant_pct
1,8331.210687499997,974.0802777777777,20.884444444444444,1743.0,0.99145,0.0,"{""0"": 27, ""4"": 29, ""2"": 32, ""5"": 28, ""6"": 27, ""7"": 23, ""1"": 35, ""3"": 29}",8,1,15.2
2,8253.832437499994,785.0308333333334,18.343611111111112,1719.0,0.9829,0.31925285644085566,"{""0"": 30, ""7"": 30, ""4"": 31, ""1"": 27, ""5"": 33, ""6"": 25, ""2"": 28, ""3"": 31}",8,5,14.0
3,8388.414500000003,750.5077777777777,17.087222222222223,1744.0,0.97435,0.25575962584879663,"{""0"": 27, ""2"": 33, ""5"": 28, ""1"": 34, ""4"": 30, ""7"": 26, ""3"": 28, ""6"": 24}",8,1,14.8
4,8499.681249999978,833.0611111111111,20.343888888888888,1772.0,0.9658,0.21921411394245094,"{""0"": 29, ""6"": 31, ""4"": 30, ""7"": 30, ""3"": 40, ""1"": 23, ""2"": 28, ""5"": 33}",8,3,16.4
5,8009.647437500001,748.6447222222222,17.536666666666665,1666.0,0.95725,0.22226534930368264,"{""0"": 20, ""3"": 27, ""4"": 28, ""7"": 24, ""2"": 31, ""6"": 27, ""1"": 31, ""5"": 33}",8,5,14.9
6,8080.964062500008,1052.2263888888888,21.657222222222224,1695.0,0.9487,0.24041515967498223,"{""0"": 25, ""1"": 24, ""4"": 28, ""5"": 29, ""6"": 26, ""7"": 32, ""3"": 24, ""2"": 25}",8,7,15.0
7,7972.723999999987,1123.7322222222222,23.177222222222223,1680.0,0.94015,0.25311934507555434,"{""0"": 31, ""6"": 23, ""7"": 30, ""4"": 29, ""3"": 27, ""2"": 29, ""5"": 29, ""1"": 28}",8,0,13.7
8,8116.583999999992,1078.8627777777779,20.740277777777777,1705.0,0.9316,0.2741473058445586,"{""0"": 29, ""6"": 27, ""4"": 27, ""2"": 39, ""1"": 29, ""7"": 27, ""3"": 23, ""5"": 29}",8,2,17.0
9,7408.733562500005,1625.0119444444445,26.286666666666665,1589.0,0.92305,0.287776959463954,"{""0"": 27, ""3"": 25, ""4"": 29, ""7"": 33, ""2"": 26, ""1"": 25, ""6"": 16, ""5"": 30}",8,7,15.6
10,7785.349374999986,1269.9444444444443,22.966944444444444,1648.0,0.9145,0.29884486724105147,"{""0"": 21, ""2"": 35, ""6"": 22, ""1"": 29, ""4"": 21, ""3"": 32, ""7"": 26, ""5"": 31}",8,2,16.1
11,7941.411624999985,1075.2566666666667,21.785833333333333,1669.0,0.90595,0.3063512029167679,"{""0"": 25, ""5"": 32, ""2"": 31, ""6"": 27, ""4"": 22, ""1"": 23, ""3"": 30, ""7"": 25}",8,5,14.9
12,8630.36718750001,812.7680555555555,19.504444444444445,1795.0,0.8974,0.3046035120387872,"{""0"": 22, ""6"": 30, ""4"": 31, ""3"": 32, ""2"": 29, ""7"": 31, ""1"": 29, ""5"": 25}",8,3,14.0
13,8441.316250000002,973.4222222222222,21.85611111111111,1765.0,0.88885,0.3047790819323725,"{""0"": 21, ""3"": 31, ""5"": 24, ""1"": 31, ""4"": 31, ""2"": 35, ""7"": 25, ""6"": 27}",8,2,15.6
14,7594.709000000024,643.5266666666666,16.040555555555557,1581.0,0.8803,0.3077012970381313,"{""0"": 30, ""5"": 31, ""4"": 27, ""2"": 40, ""6"": 23, ""1"": 27, ""3"": 38, ""7"": 32}",8,2,16.1
15,8165.419500000011,1043.205,21.34027777777778,1714.0,0.87175,0.3110435187858012,"{""0"": 30, ""3"": 27, ""1"": 32, ""5"": 26, ""2"": 32, ""4"": 30, ""7"": 27, ""6"": 26}",8,1,13.9
