episode,reward,waiting,queue,arrived,loss,pg_loss,val_loss,entropy,entropy_coef,phase_counts,phases_used,dominant_phase,dominant_pct
1,8072.0361875,631.8641666666666,15.6475,1674.0,323.3374588012695,-0.019375827629119158,650.2658422470092,3.5521731793880464,0.5,"{""0"": 29, ""2"": 41, ""3"": 15, ""5"": 28, ""6"": 31, ""1"": 49, ""4"": 30, ""7"": 15}",8,1,20.6
2,7781.573187500002,556.0080555555555,14.025,1613.0,424.36033782958987,-0.0033869733102619647,852.3349328994751,3.6145710706710816,0.49902,"{""0"": 31, ""7"": 24, ""6"": 33, ""1"": 49, ""2"": 35, ""5"": 27, ""3"": 21, ""4"": 28}",8,1,19.8
3,7831.877749999991,449.27944444444444,12.3625,1618.0,410.3795965194702,-0.010315433260984719,824.3829044342041,3.617262953519821,0.49804,"{""0"": 40, ""3"": 34, ""6"": 36, ""1"": 43, ""2"": 34, ""4"": 25, ""7"": 20, ""5"": 18}",8,1,17.2
4,8323.274812500009,456.92583333333334,13.274166666666666,1716.0,363.57104473114015,-0.022103621950373055,730.7896282196045,3.624640053510666,0.49706,"{""0"": 36, ""5"": 25, ""4"": 37, ""3"": 18, ""2"": 38, ""6"": 31, ""7"": 20, ""1"": 41}",8,1,16.7
5,8196.197437500005,579.3836111111111,14.901666666666667,1697.0,423.37892999649046,-0.009920907020568848,850.3805919647217,3.6313600480556487,0.49608,"{""0"": 42, ""7"": 24, ""4"": 29, ""1"": 36, ""6"": 35, ""2"": 33, ""5"": 14, ""3"": 23}",8,0,17.8
6,8149.797250000009,498.0622222222222,13.089444444444444,1684.0,426.39734306335447,-0.011342585179954767,856.4117767333985,3.629975974559784,0.4951,"{""0"": 42, ""1"": 39, ""4"": 30, ""3"": 25, ""2"": 28, ""7"": 21, ""6"": 36, ""5"": 29}",8,0,16.8
7,8474.639562500002,456.0519444444444,13.71888888888889,1747.0,431.615326499939,-0.012005692860111595,866.8407573699951,3.6287676453590394,0.49412,"{""0"": 30, ""5"": 22, ""1"": 40, ""4"": 33, ""2"": 36, ""6"": 42, ""7"": 20, ""3"": 25}",8,6,16.9
8,8369.317812500018,575.2375,14.593333333333334,1731.0,437.6938163757324,-0.018344053393229844,879.0075370788575,3.6330615758895872,0.49314,"{""0"": 36, ""3"": 24, ""1"": 37, ""7"": 31, ""2"": 34, ""6"": 30, ""5"": 25, ""4"": 29}",8,1,15.0
9,8244.696249999988,555.1222222222223,13.995,1704.0,291.886079788208,-0.03563078199513257,587.4195793151855,3.6331178188323974,0.49216,"{""0"": 38, ""3"": 23, ""7"": 29, ""1"": 43, ""5"": 22, ""4"": 24, ""2"": 32, ""6"": 26}",8,1,18.1
10,8138.834187499995,607.0397222222222,14.925277777777778,1686.0,410.25777263641356,-0.002343640197068453,824.0972263336182,3.6412252843379975,0.49118,"{""0"": 32, ""3"": 24, ""4"": 32, ""1"": 40, ""6"": 37, ""5"": 17, ""2"": 30, ""7"": 27}",8,1,16.7
11,8319.88731250001,524.2369444444445,13.845833333333333,1720.0,536.0410816192627,0.007619925448670984,1075.6303574562073,3.634679287672043,0.4902,"{""0"": 37, ""6"": 44, ""2"": 35, ""5"": 22, ""1"": 39, ""4"": 32, ""7"": 19, ""3"": 21}",8,6,17.7
12,8218.241125000002,590.4005555555556,15.355555555555556,1702.0,560.5595167160034,0.04059728544671089,1124.6058433532714,3.6466196715831756,0.48922,"{""0"": 40, ""6"": 35, ""4"": 25, ""2"": 30, ""7"": 30, ""1"": 39, ""3"": 25, ""5"": 19}",8,0,16.5
13,8260.90574999999,692.8466666666667,16.904444444444444,1715.0,431.7388910293579,0.019861494284123184,867.0023208618164,3.650113010406494,0.48824,"{""0"": 33, ""7"": 29, ""3"": 17, ""1"": 38, ""6"": 40, ""4"": 27, ""2"": 27, ""5"": 21}",8,6,17.2
14,8156.536000000018,678.3483333333334,15.990833333333333,1693.0,475.3856231689453,-0.00871303011663258,954.347481918335,3.65186003446579,0.48726,"{""0"": 33, ""2"": 30, ""4"": 22, ""1"": 40, ""5"": 17, ""7"": 32, ""3"": 22, ""6"": 39}",8,1,17.0
15,8002.5898124999785,602.3980555555555,15.336944444444445,1660.0,460.8857276916504,-0.011101829074323177,925.3435264587403,3.6500150084495546,0.48628,"{""0"": 42, ""3"": 30, ""4"": 30, ""6"": 31, ""1"": 31, ""2"": 31, ""5"": 21, ""7"": 27}",8,0,17.3
16,8684.104062499986,513.2125,14.490833333333333,1791.0,423.6085578918457,0.010645925672724843,850.7406078338623,3.6521603882312776,0.4853,"{""0"": 38, ""1"": 39, ""6"": 31, ""4"": 36, ""5"": 23, ""2"": 29, ""7"": 23, ""3"": 25}",8,1,16.0
17,8195.082062500001,714.6936111111111,16.894166666666667,1703.0,472.4476758003235,-0.008313621301203966,948.4533143997193,3.655986326932907,0.48432,"{""0"": 27, ""7"": 29, ""5"": 30, ""2"": 35, ""1"": 37, ""6"": 29, ""4"": 32, ""3"": 21}",8,1,15.4
18,8054.117624999998,500.6188888888889,13.430277777777778,1666.0,477.06895484924314,-0.0076142427744343875,957.683352279663,3.651891404390335,0.48334,"{""0"": 36, ""2"": 31, ""6"": 33, ""1"": 47, ""3"": 29, ""4"": 26, ""5"": 25, ""7"": 26}",8,1,18.6
19,8360.390437500004,509.67305555555555,14.509166666666667,1727.0,450.45431365966795,0.002700130338780582,904.4274978637695,3.653144419193268,0.48236,"{""0"": 31, ""1"": 36, ""2"": 34, ""7"": 31, ""3"": 28, ""6"": 27, ""5"": 27, ""4"": 32}",8,1,14.6
20,7996.476687500003,634.6730555555556,15.556944444444444,1660.0,398.2591018676758,-0.023385959351435302,800.0754039764404,3.646217888593674,0.48138000000000003,"{""0"": 35, ""6"": 32, ""5"": 32, ""2"": 26, ""1"": 40, ""7"": 29, ""3"": 27, ""4"": 25}",8,1,16.3
21,8351.488125000025,725.8694444444444,16.61277777777778,1734.0,338.8319263458252,-0.00515165594406426,681.1873606681824,3.65654057264328,0.4804,"{""0"": 36, ""2"": 30, ""4"": 28, ""5"": 27, ""3"": 28, ""7"": 24, ""6"": 26, ""1"": 33}",8,0,15.5
22,8132.325812499986,598.2769444444444,14.985833333333334,1683.0,379.5410556793213,0.0038335476303473113,762.5710041046143,3.646654427051544,0.47942,"{""0"": 30, ""1"": 35, ""2"": 25, ""5"": 28, ""7"": 29, ""3"": 25, ""4"": 24, ""6"": 28}",8,1,15.6
23,8237.660374999974,894.665,20.009444444444444,1721.0,526.8988929748535,0.0127015957608819,1057.2654110908509,3.6504345655441286,0.47844,"{""0"": 29, ""3"": 25, ""6"": 31, ""1"": 27, ""4"": 42, ""5"": 27, ""7"": 22, ""2"": 32}",8,4,17.9
24,8180.389812499996,758.8119444444444,16.765,1704.0,491.47059803009034,-0.03635564064607024,986.508283996582,3.659340316057205,0.47746,"{""0"": 30, ""6"": 22, ""2"": 36, ""3"": 25, ""5"": 28, ""4"": 41, ""7"": 20, ""1"": 29}",8,4,17.7
25,8293.845749999982,782.7272222222222,17.815277777777776,1727.0,408.04763889312744,-0.017801520857028665,819.6134218215942,3.6544446289539336,0.47648,"{""0"": 37, ""1"": 34, ""2"": 23, ""4"": 36, ""6"": 37, ""5"": 22, ""7"": 31, ""3"": 24}",8,0,15.2
26,8168.777812499983,858.0986111111112,18.333333333333332,1706.0,406.01564903259276,-0.029497578903101385,815.5614875793457,3.6500469207763673,0.4755,"{""0"": 31, ""4"": 29, ""7"": 32, ""2"": 27, ""5"": 23, ""1"": 38, ""3"": 16, ""6"": 32}",8,1,16.7
27,8110.662562500001,516.2080555555556,12.865277777777777,1677.0,253.47141962051393,-0.014611448778305202,510.443611907959,3.6579551577568052,0.47452,"{""0"": 28, ""4"": 39, ""6"": 29, ""1"": 45, ""7"": 25, ""2"": 38, ""5"": 26, ""3"": 27}",8,1,17.5
28,7908.174374999995,706.9555555555555,15.974166666666667,1645.0,514.6794843673706,0.007563186064362526,1032.8103640556335,3.660208112001419,0.47354,"{""0"": 28, ""4"": 39, ""1"": 48, ""6"": 23, ""7"": 28, ""2"": 28, ""3"": 17, ""5"": 27}",8,1,20.2
29,8451.190187499984,615.4352777777777,15.896944444444445,1749.0,371.88572158813474,-0.018785057263448833,747.2639896392823,3.655597817897797,0.47256,"{""0"": 32, ""1"": 45, ""4"": 26, ""7"": 29, ""6"": 28, ""3"": 24, ""5"": 27, ""2"": 26}",8,1,19.0
30,8323.640125000014,432.6744444444444,13.028611111111111,1715.0,428.99829320907594,-0.022551344847306608,861.487675857544,3.653661346435547,0.47158,"{""0"": 36, ""6"": 32, ""1"": 33, ""7"": 22, ""5"": 33, ""4"": 24, ""3"": 28, ""2"": 31}",8,0,15.1
31,7877.940250000011,432.0488888888889,12.927222222222222,1626.0,385.6501322746277,0.004677071189507842,774.7289705276489,3.6528537273406982,0.4706,"{""0"": 39, ""3"": 20, ""6"": 40, ""4"": 32, ""7"": 26, ""1"": 34, ""2"": 30, ""5"": 21}",8,6,16.5
32,8222.874062500003,641.4236111111111,15.524722222222222,1707.0,538.3915077209473,-0.01703367419540882,1080.2482761383058,3.65316556096077,0.46962,"{""0"": 30, ""7"": 26, ""4"": 36, ""1"": 43, ""6"": 20, ""5"": 25, ""2"": 25, ""3"": 36}",8,1,17.8
33,8185.745249999995,945.9905555555556,19.100277777777777,1712.0,347.21111888885497,-0.009688327927142382,697.8591228485108,3.646206134557724,0.46864,"{""0"": 36, ""5"": 26, ""6"": 22, ""3"": 23, ""4"": 27, ""1"": 28, ""7"": 28, ""2"": 31}",8,0,16.3
34,7994.756250000001,595.2138888888888,15.5175,1659.0,548.8992925643921,-0.004308577394112945,1101.2211765289308,3.6500646114349364,0.46766,"{""0"": 39, ""6"": 30, ""3"": 28, ""1"": 46, ""4"": 23, ""2"": 24, ""7"": 27, ""5"": 36}",8,1,18.2
35,8003.735812499984,664.6880555555556,15.9375,1662.0,425.2289137363434,0.00014667625073343514,853.8626108169556,3.648197257518768,0.46668,"{""0"": 30, ""4"": 22, ""6"": 28, ""5"": 22, ""3"": 22, ""1"": 37, ""2"": 38, ""7"": 32}",8,2,16.5
36,8276.850062500034,639.7191666666666,15.7975,1716.0,365.4169194698334,-0.010751018533483148,734.2536160469056,3.648570269346237,0.4657,"{""0"": 29, ""1"": 36, ""2"": 27, ""5"": 32, ""7"": 31, ""4"": 36, ""3"": 23, ""6"": 26}",8,1,15.0
37,8397.302750000006,574.1738888888889,15.436944444444444,1736.0,448.9480064868927,-0.03022511408198625,901.3431497573853,3.643783211708069,0.46472,"{""0"": 32, ""5"": 26, ""4"": 32, ""3"": 32, ""1"": 37, ""7"": 20, ""2"": 32, ""6"": 23}",8,1,15.8
38,8034.282749999999,988.9738888888888,20.0075,1684.0,429.65195951461794,-0.013948704942595213,862.7244318008422,3.657875418663025,0.46374,"{""0"": 45, ""4"": 28, ""7"": 29, ""1"": 30, ""3"": 23, ""2"": 28, ""5"": 22, ""6"": 21}",8,0,19.9
39,8061.889749999981,1121.0372222222222,19.73138888888889,1694.0,431.68078861236575,-0.017889883695170285,866.7801570892334,3.6550283432006836,0.46276,"{""0"": 34, ""1"": 35, ""6"": 25, ""5"": 20, ""7"": 24, ""4"": 31, ""2"": 28, ""3"": 24}",8,1,15.8
40,8576.141187500001,563.6058333333333,15.26,1772.0,450.96163244247435,-0.010486347414553166,905.3219205856324,3.6572336733341215,0.46178,"{""0"": 41, ""5"": 26, ""2"": 31, ""6"": 32, ""4"": 25, ""1"": 38, ""3"": 24, ""7"": 24}",8,0,17.0
41,8029.133624999999,693.1866666666666,16.44972222222222,1667.0,480.664636516571,0.00332760838791728,964.6884359359741,3.652135908603668,0.4608,"{""0"": 38, ""4"": 25, ""1"": 38, ""2"": 27, ""5"": 21, ""3"": 20, ""6"": 23, ""7"": 23}",8,0,17.7
42,8407.4888125,619.2025,15.545833333333333,1741.0,401.8103054046631,-0.01374731119722128,807.0067693710328,3.652145725488663,0.45982,"{""0"": 34, ""3"": 26, ""7"": 25, ""5"": 28, ""4"": 32, ""1"": 46, ""6"": 27, ""2"": 24}",8,1,19.0
43,8067.572937499995,749.0341666666667,17.44472222222222,1680.0,629.0729886054993,0.017600889969617128,1261.466282081604,3.6565182864665986,0.45884,"{""0"": 34, ""4"": 26, ""7"": 25, ""6"": 38, ""1"": 35, ""5"": 30, ""3"": 23, ""2"": 27}",8,6,16.0
44,7673.5991250000225,669.7316666666667,15.782777777777778,1597.0,476.0971101760864,0.019123482378199698,955.4996479034423,3.6514176785945893,0.45786,"{""0"": 36, ""2"": 25, ""5"": 32, ""1"": 32, ""4"": 28, ""3"": 23, ""6"": 30, ""7"": 28}",8,0,15.4
45,8233.201999999981,595.93,15.328333333333333,1704.0,463.5986388206482,-0.005501676700077951,930.5459808349609,3.652717578411102,0.45688,"{""0"": 32, ""3"": 28, ""5"": 24, ""6"": 25, ""1"": 31, ""4"": 35, ""2"": 27, ""7"": 29}",8,4,15.2
46,8135.610124999998,702.7911111111111,15.94138888888889,1690.0,382.9573974609375,-0.006728271045722068,769.2584117889404,3.6522941470146177,0.45589999999999997,"{""0"": 43, ""1"": 39, ""6"": 25, ""7"": 31, ""5"": 25, ""2"": 23, ""3"": 18, ""4"": 34}",8,0,18.1
47,8080.126687500005,637.9258333333333,15.54,1677.0,379.71156158447263,0.015490028890781105,762.7191511154175,3.6566900074481965,0.45492,"{""0"": 30, ""3"": 32, ""2"": 33, ""4"": 34, ""6"": 27, ""1"": 36, ""5"": 28, ""7"": 24}",8,1,14.8
48,8556.593750000016,936.5305555555556,20.571944444444444,1784.0,488.9718454360962,-0.006621597101911902,981.2745548248291,3.6542456448078156,0.45394,"{""0"": 27, ""1"": 38, ""3"": 23, ""4"": 29, ""2"": 23, ""6"": 27, ""7"": 19, ""5"": 21}",8,1,18.4
49,8312.279124999975,778.8844444444444,16.493055555555557,1729.0,404.5041975021362,-0.006391902640461922,812.3336410522461,3.6564530611038206,0.45296000000000003,"{""0"": 25, ""1"": 54, ""5"": 25, ""3"": 22, ""7"": 24, ""2"": 29, ""4"": 29, ""6"": 27}",8,1,23.0
50,7705.152437500007,644.7530555555555,14.856944444444444,1602.0,461.54669723510744,-0.02595632425509393,926.4524673461914,3.6585329949855803,0.45198,"{""0"": 30, ""4"": 38, ""5"": 30, ""1"": 33, ""6"": 23, ""2"": 32, ""3"": 26, ""7"": 23}",8,4,16.2
51,8057.7100625000085,1127.3969444444444,20.3225,1694.0,374.391197681427,-0.020741228549741208,752.126093673706,3.660991209745407,0.451,"{""0"": 29, ""1"": 36, ""5"": 27, ""4"": 27, ""3"": 16, ""2"": 29, ""7"": 24, ""6"": 28}",8,1,16.7
52,8180.774812500015,794.3341666666666,17.59722222222222,1704.0,451.4845561981201,-0.005866724904626608,906.2733795166016,3.658206421136856,0.45002,"{""0"": 34, ""5"": 31, ""1"": 37, ""3"": 28, ""6"": 26, ""7"": 28, ""4"": 33, ""2"": 20}",8,1,15.6
53,8294.221937500017,765.2275,17.650833333333335,1726.0,535.4678310394287,-0.02143949382007122,1074.2621850967407,3.656299912929535,0.44904,"{""0"": 34, ""4"": 26, ""6"": 26, ""7"": 24, ""3"": 23, ""2"": 34, ""1"": 39, ""5"": 35}",8,1,16.2
54,8247.322187500018,904.2236111111112,18.523333333333333,1723.0,449.3229747772217,-0.002509090583771467,901.9240196228027,3.6524856984615326,0.44806,"{""0"": 32, ""6"": 23, ""3"": 27, ""7"": 26, ""5"": 29, ""4"": 25, ""1"": 37, ""2"": 26}",8,1,16.4
55,8152.3821875000185,999.3819444444445,19.66138888888889,1706.0,363.18110208511354,-0.03466118578799069,729.702774810791,3.6584651172161102,0.44708,"{""0"": 25, ""3"": 25, ""7"": 26, ""5"": 21, ""4"": 22, ""6"": 18, ""1"": 36, ""2"": 28}",8,1,17.9
56,7941.109187499994,754.4202777777778,16.384444444444444,1653.0,451.35301513671874,0.004990512365475297,905.9614681243896,3.6599563658237457,0.4461,"{""0"": 36, ""3"": 26, ""1"": 35, ""7"": 23, ""6"": 29, ""4"": 36, ""2"": 26, ""5"": 20}",8,0,15.6
57,8229.2751875,573.1686111111111,15.530277777777778,1704.0,366.61054067611695,-0.012236096407286822,736.501448059082,3.6573136150836945,0.44512,"{""0"": 27, ""2"": 30, ""3"": 24, ""5"": 28, ""6"": 30, ""7"": 29, ""1"": 39, ""4"": 31}",8,1,16.4
58,8232.4675,696.3333333333334,17.445,1711.0,537.5342084884644,-0.018947724741883575,1078.3502155303954,3.6518932580947876,0.44414,"{""0"": 20, ""2"": 40, ""6"": 27, ""4"": 34, ""5"": 29, ""1"": 27, ""7"": 21, ""3"": 29}",8,2,17.6
59,8415.62706249999,904.0019444444445,19.329444444444444,1757.0,513.4806667327881,-0.03140028053894639,1030.2686027526856,3.6606011569499968,0.44316,"{""0"": 24, ""6"": 33, ""1"": 32, ""4"": 27, ""2"": 34, ""7"": 32, ""5"": 27, ""3"": 25}",8,2,14.5
60,7960.0521875000095,927.4708333333333,19.24361111111111,1665.0,405.89990081787107,-0.0035581414122134447,815.0506687164307,3.667906606197357,0.44218,"{""0"": 23, ""6"": 28, ""5"": 29, ""3"": 32, ""1"": 38, ""4"": 30, ""7"": 16, ""2"": 26}",8,1,17.1
61,8394.993312500019,725.9380555555556,16.998055555555556,1743.0,399.05291805267336,-0.021207824698649347,801.3798107147217,3.6622359275817873,0.4412,"{""0"": 30, ""6"": 32, ""7"": 29, ""5"": 20, ""2"": 31, ""1"": 35, ""3"": 22, ""4"": 29}",8,1,15.4
62,8216.073125000012,621.0722222222222,14.590833333333334,1702.0,395.12383060455323,-0.003336799587123096,793.4727043151855,3.6554113388061524,0.44022,"{""0"": 35, ""1"": 27, ""3"": 30, ""4"": 31, ""6"": 32, ""7"": 34, ""5"": 28, ""2"": 19}",8,0,14.8
63,8232.499187499996,1036.0230555555556,20.10361111111111,1728.0,547.419056892395,-0.005889162188395858,1098.0657089233398,3.6606666803359986,0.43924,"{""0"": 30, ""2"": 40, ""1"": 38, ""4"": 27, ""5"": 26, ""6"": 28, ""3"": 25, ""7"": 18}",8,2,17.2
64,8482.737249999984,821.0677777777778,17.47111111111111,1764.0,479.35591926574705,0.00977421123534441,961.8990032196045,3.658455801010132,0.43826,"{""0"": 31, ""4"": 31, ""3"": 15, ""1"": 36, ""7"": 25, ""2"": 31, ""5"": 29, ""6"": 24}",8,1,16.2
65,8080.3809999999985,758.7011111111111,17.79388888888889,1683.0,565.5754717826843,-0.017372287577018142,1134.386863708496,3.6603277146816255,0.43728,"{""0"": 29, ""4"": 25, ""5"": 28, ""6"": 27, ""2"": 22, ""1"": 30, ""3"": 27, ""7"": 37}",8,7,16.4
66,8154.468625000007,873.6311111111111,18.8175,1702.0,480.77416191101076,-0.012933793547563254,964.7669342041015,3.658887279033661,0.4363,"{""0"": 26, ""2"": 22, ""3"": 29, ""1"": 32, ""7"": 29, ""5"": 29, ""4"": 34, ""6"": 28}",8,4,14.8
67,8396.93343749998,763.2513888888889,17.668333333333333,1747.0,508.58253240585327,-0.0074130544438958165,1020.3637266159058,3.656887263059616,0.43532,"{""0"": 44, ""2"": 35, ""1"": 37, ""4"": 27, ""7"": 27, ""6"": 35, ""5"": 19, ""3"": 28}",8,0,17.5
68,7830.944499999999,736.4911111111111,16.17,1631.0,461.02311515808105,-0.011126559181138872,925.2443862915039,3.6560101926326753,0.43434,"{""0"": 26, ""5"": 26, ""2"": 40, ""6"": 29, ""7"": 21, ""4"": 33, ""1"": 39, ""3"": 23}",8,2,16.9
69,8301.398124999998,846.6222222222223,19.46638888888889,1731.0,461.0519592285156,0.015811392292380332,925.2452842712403,3.6609206438064574,0.43335999999999997,"{""0"": 25, ""1"": 33, ""7"": 25, ""4"": 30, ""6"": 33, ""5"": 22, ""2"": 33, ""3"": 33}",8,1,14.1
70,8203.33993750001,814.6836111111111,18.627777777777776,1711.0,555.0125888824463,0.006935411295853555,1113.172254180908,3.6552953839302065,0.43238,"{""0"": 26, ""6"": 24, ""7"": 33, ""2"": 29, ""1"": 36, ""3"": 34, ""4"": 29, ""5"": 21}",8,1,15.5
