episode,reward,waiting,queue,arrived,epsilon,phase_counts,phases_used,dominant_phase,dominant_pct
1,5259.721874999997,5906.891666666666,43.873333333333335,1361.0,0.998,"{""0"": 66, ""1"": 65}",2,0,50.4
2,4977.048625,5953.056111111111,44.34777777777778,1307.0,0.996004,"{""0"": 64, ""1"": 64}",2,0,50.0
3,5083.87162500001,5853.5344444444445,43.539722222222224,1325.0,0.994011992,"{""0"": 71, ""1"": 71}",2,0,50.0
4,5159.728874999997,5863.488333333334,43.74666666666667,1340.0,0.992023968016,"{""0"": 69, ""1"": 69}",2,0,50.0
5,5049.197125,5896.073888888889,43.48555555555556,1320.0,0.990039920079968,"{""0"": 69, ""1"": 69}",2,0,50.0
6,5116.520749999997,5835.085555555555,43.22944444444445,1328.0,0.9880598402398081,"{""0"": 65, ""1"": 65}",2,0,50.0
7,4753.35362499999,5842.864444444444,43.12583333333333,1259.0,0.9860837205593285,"{""0"": 76, ""1"": 75}",2,0,50.3
8,5134.035062499986,5882.285833333333,43.58083333333333,1336.0,0.9841115531182099,"{""0"": 71, ""1"": 71}",2,0,50.0
9,5417.387687499987,5743.979722222222,42.840833333333336,1384.0,0.9821433300119734,"{""0"": 63, ""1"": 63}",2,0,50.0
10,5173.969750000002,5872.920555555555,43.59916666666667,1343.0,0.9801790433519495,"{""0"": 71, ""1"": 71}",2,0,50.0
11,5112.1215000000075,5929.579444444445,43.771388888888886,1334.0,0.9782186852652456,"{""0"": 74, ""1"": 74}",2,0,50.0
12,5129.3639999999805,5837.115555555555,43.22666666666667,1331.0,0.976262247894715,"{""0"": 69, ""1"": 69}",2,0,50.0
13,5171.102999999984,5841.772777777778,43.090833333333336,1342.0,0.9743097233989256,"{""0"": 74, ""1"": 74}",2,0,50.0
14,5150.217437499993,5776.883611111111,42.867777777777775,1334.0,0.9723611039521278,"{""0"": 72, ""1"": 71}",2,0,50.3
15,5185.100499999993,5930.225555555556,43.76888888888889,1349.0,0.9704163817442236,"{""0"": 68, ""1"": 68}",2,0,50.0
16,5157.535062500007,5870.746944444444,43.47083333333333,1339.0,0.9684755489807352,"{""0"": 71, ""1"": 71}",2,0,50.0
17,5182.1840624999995,5797.148611111111,42.961666666666666,1342.0,0.9665385978827737,"{""0"": 72, ""1"": 71}",2,0,50.3
18,5303.141999999997,5876.23,43.522222222222226,1369.0,0.9646055206870082,"{""0"": 71, ""1"": 71}",2,0,50.0
19,5263.212812500002,5892.134722222222,43.66694444444445,1363.0,0.9626763096456342,"{""0"": 71, ""1"": 71}",2,0,50.0
20,5008.840000000021,5771.930555555556,42.47527777777778,1306.0,0.9607509570263429,"{""0"": 75, ""1"": 75}",2,0,50.0
21,5098.389312499996,5761.769722222222,42.925,1323.0,0.9588294551122902,"{""0"": 65, ""1"": 65}",2,0,50.0
22,4977.3291875,5700.370277777778,42.166666666666664,1294.0,0.9569117962020657,"{""0"": 73, ""1"": 72}",2,0,50.3
23,5159.394937499992,5722.461388888889,42.45333333333333,1333.0,0.9549979726096616,"{""0"": 70, ""1"": 69}",2,0,50.4
24,5314.835562500006,5858.436388888889,43.58777777777778,1370.0,0.9530879766644422,"{""0"": 68, ""1"": 68}",2,0,50.0
25,5237.531125000003,5750.445,42.80555555555556,1349.0,0.9511818007111134,"{""0"": 69, ""1"": 69}",2,0,50.0
26,5042.856187500013,5911.9725,43.727777777777774,1320.0,0.9492794371096911,"{""0"": 72, ""1"": 71}",2,0,50.3
27,5196.5096250000015,5788.1738888888885,43.245,1344.0,0.9473808782354717,"{""0"": 71, ""1"": 71}",2,0,50.0
28,5217.4983750000065,5777.435,42.72944444444445,1347.0,0.9454861164790007,"{""0"": 72, ""1"": 71}",2,0,50.3
29,5050.066437500015,5804.526944444445,43.156666666666666,1314.0,0.9435951442460427,"{""0"": 69, ""1"": 69}",2,0,50.0
30,5047.442625000003,6017.055,44.522777777777776,1324.0,0.9417079539575507,"{""0"": 65, ""1"": 65}",2,0,50.0
31,5062.049062500016,5764.715277777777,42.70944444444444,1313.0,0.9398245380496356,"{""0"": 71, ""1"": 70}",2,0,50.4
32,5072.339562500007,5879.5297222222225,43.718333333333334,1321.0,0.9379448889735363,"{""0"": 65, ""1"": 65}",2,0,50.0
33,4994.26812499997,5878.622222222222,43.29361111111111,1308.0,0.9360689991955893,"{""0"": 69, ""1"": 69}",2,0,50.0
34,4966.545250000015,5896.887777777778,43.54388888888889,1302.0,0.9341968611971981,"{""0"": 67, ""1"": 67}",2,0,50.0
35,4920.208625000004,5811.283888888889,42.915,1290.0,0.9323284674748037,"{""0"": 71, ""1"": 71}",2,0,50.0
36,5400.173562500005,5875.1258333333335,44.115833333333335,1388.0,0.930463810539854,"{""0"": 67, ""1"": 67}",2,0,50.0
37,4902.873750000001,5671.066666666667,42.221666666666664,1279.0,0.9286028829187744,"{""0"": 68, ""1"": 67}",2,0,50.4
38,4966.401500000001,5825.196111111111,43.13527777777778,1300.0,0.9267456771529368,"{""0"": 69, ""1"": 68}",2,0,50.4
39,5276.93812500001,5833.677777777778,42.956944444444446,1362.0,0.9248921857986309,"{""0"": 71, ""1"": 70}",2,0,50.4
40,5438.967437500001,5736.869722222223,42.994166666666665,1389.0,0.9230424014270336,"{""0"": 70, ""1"": 69}",2,0,50.4
41,5187.523624999998,5831.9366666666665,43.201388888888886,1344.0,0.9211963166241796,"{""0"": 67, ""1"": 67}",2,0,50.0
42,5331.359125000012,5817.756666666667,43.261944444444445,1372.0,0.9193539239909312,"{""0"": 69, ""1"": 69}",2,0,50.0
43,4862.074999999995,5885.127777777778,43.66777777777778,1282.0,0.9175152161429493,"{""0"": 66, ""1"": 66}",2,0,50.0
44,5185.055375000002,5758.434444444444,42.80694444444445,1338.0,0.9156801857106633,"{""0"": 66, ""1"": 65}",2,0,50.4
45,5217.160750000004,5927.966111111111,43.979166666666664,1354.0,0.913848825339242,"{""0"": 69, ""1"": 69}",2,0,50.0
46,5089.00106250001,5977.848055555555,44.0925,1333.0,0.9120211276885636,"{""0"": 74, ""1"": 74}",2,0,50.0
47,5021.217874999994,5839.2538888888885,42.78611111111111,1312.0,0.9101970854331864,"{""0"": 72, ""1"": 72}",2,0,50.0
48,5292.438874999993,5892.477222222222,43.937777777777775,1367.0,0.9083766912623201,"{""0"": 64, ""1"": 64}",2,0,50.0
49,5081.941375000009,5920.482777777778,43.47222222222222,1327.0,0.9065599378797955,"{""0"": 74, ""1"": 74}",2,0,50.0
50,5240.044187500006,5742.953611111111,42.72666666666667,1349.0,0.9047468180040359,"{""0"": 72, ""1"": 71}",2,0,50.3
51,4991.859687499995,5895.5375,43.83638888888889,1308.0,0.9029373243680279,"{""0"": 68, ""1"": 68}",2,0,50.0
52,5115.574937499999,5887.119722222223,43.485277777777775,1335.0,0.9011314497192918,"{""0"": 76, ""1"": 76}",2,0,50.0
53,5096.395187499989,5945.9325,44.06722222222222,1332.0,0.8993291868198532,"{""0"": 69, ""1"": 69}",2,0,50.0
54,4973.795375000017,5794.778888888889,43.04361111111111,1300.0,0.8975305284462135,"{""0"": 70, ""1"": 70}",2,0,50.0
55,5281.535937499994,5788.104166666667,42.99861111111111,1360.0,0.8957354673893211,"{""0"": 69, ""1"": 69}",2,0,50.0
56,5088.326312500001,5843.235833333333,43.27861111111111,1326.0,0.8939439964545425,"{""0"": 75, ""1"": 75}",2,0,50.0
57,4970.323937500013,5771.560277777778,42.93611111111111,1295.0,0.8921561084616334,"{""0"": 66, ""1"": 66}",2,0,50.0
58,5088.717750000014,5905.290555555555,43.429722222222225,1329.0,0.8903717962447101,"{""0"": 71, ""1"": 71}",2,0,50.0
59,5091.150687500014,5780.658055555556,42.803333333333335,1323.0,0.8885910526522206,"{""0"": 69, ""1"": 69}",2,0,50.0
60,4939.411499999999,5877.335,43.04472222222222,1296.0,0.8868138705469162,"{""0"": 74, ""1"": 74}",2,0,50.0
61,5005.060125000013,5786.691111111111,42.8875,1305.0,0.8850402428058224,"{""0"": 65, ""1"": 65}",2,0,50.0
62,5135.146687499996,5727.2175,42.551944444444445,1328.0,0.8832701623202107,"{""0"": 65, ""1"": 65}",2,0,50.0
63,5617.114500000008,5784.818888888889,43.214444444444446,1427.0,0.8815036219955703,"{""0"": 69, ""1"": 68}",2,0,50.4
64,4999.71518750001,5934.901944444445,43.85305555555556,1312.0,0.8797406147515792,"{""0"": 70, ""1"": 70}",2,0,50.0
65,5076.584062500007,5948.565277777778,43.88944444444444,1328.0,0.877981133522076,"{""0"": 72, ""1"": 71}",2,0,50.3
66,5074.83293749999,5925.884166666667,43.746944444444445,1325.0,0.8762251712550319,"{""0"": 68, ""1"": 67}",2,0,50.4
67,5125.338874999989,5827.877222222222,42.95333333333333,1330.0,0.8744727209125218,"{""0"": 71, ""1"": 71}",2,0,50.0
68,5004.340437499999,5821.8175,42.91138888888889,1308.0,0.8727237754706968,"{""0"": 72, ""1"": 72}",2,0,50.0
69,5027.168062500007,5896.853055555555,43.617777777777775,1316.0,0.8709783279197554,"{""0"": 72, ""1"": 72}",2,0,50.0
70,5387.721250000007,5824.05,43.48833333333334,1383.0,0.8692363712639158,"{""0"": 71, ""1"": 70}",2,0,50.4
71,5156.221250000018,5800.922222222222,43.120555555555555,1337.0,0.867497898521388,"{""0"": 76, ""1"": 76}",2,0,50.0
72,5417.9493125,5718.941944444445,43.00611111111111,1383.0,0.8657629027243453,"{""0"": 64, ""1"": 64}",2,0,50.0
73,4992.967312499996,5705.106388888889,42.35666666666667,1299.0,0.8640313769188966,"{""0"": 73, ""1"": 72}",2,0,50.3
74,4960.443062499997,5815.1947222222225,42.783611111111114,1296.0,0.8623033141650589,"{""0"": 73, ""1"": 73}",2,0,50.0
75,5431.685500000011,5772.158888888889,43.151666666666664,1390.0,0.8605787075367288,"{""0"": 73, ""1"": 73}",2,0,50.0
